Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation_date,report_date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
350012,Influenza - Avian,;H5N1 HPAI;,48.101525,-1.156363,Erbrée (35105),France,Europe,2023-03-16T00:00:00Z,2023-03-31T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
347181,Influenza - Avian,;H5N1 HPAI;,48.467698,-3.066973, Saint-PÃ©ver (22322) ,France,Europe,2023-02-22T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
347177,Influenza - Avian,;H5N1 HPAI;,48.41938,-3.092655, Saint-Connan (22284) ,France,Europe,2023-02-21T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
347179,Influenza - Avian,;H5N1 HPAI;,48.466678,-3.082941, Saint-PÃ©ver (22322) ,France,Europe,2023-02-22T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
347180,Influenza - Avian,;H5N1 HPAI;,48.415811,-3.037782,Saint-Connan (22284),France,Europe,2023-02-16T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
351219,Influenza - Avian,;H5N1 HPAI;,48.513507,-1.512679,SOUGÉAL (35329),France,Europe,2023-03-25T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Peregrin falcon:Falco peregrinus(Falconidae),",OIE,,,Confirmed
347182,Influenza - Avian,;H5N1 HPAI;,48.368249,-3.105446, Saint-Gilles-Pligeaux (22294) ,France,Europe,2023-02-18T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
350010,Influenza - Avian,;H5N1 HPAI;,48.143646,-1.248487,Montreuil-sous-Pérouse (35194),France,Europe,2023-03-17T00:00:00Z,2023-03-31T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
347178,Influenza - Avian,;H5N1 HPAI;,48.438304,-3.067383, Senven-LÃ©hart (22335) ,France,Europe,2023-02-22T00:00:00Z,2023-02-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
347809,Influenza - Avian,;H5N1 HPAI;,15.8662803,-16.510103,National Park of Langue de Barbarie,Senegal,Africa,2023-03-08T00:00:00Z,2023-03-13T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",FAO officer,,,Confirmed
349886,Influenza - Avian,;H5N1 HPAI;,48.17382,16.46288,WIEN,Austria,Europe,2023-03-21T00:00:00Z,2023-03-31T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
350510,Influenza - Avian,;H5N1 HPAI;,48.173933,16.462827,Wien,Austria,Europe,2023-04-03T00:00:00Z,2023-04-06T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
352043,Influenza - Avian,;H5N1 HPAI;,48.173527,16.462278,WIEN,Austria,Europe,2023-04-11T00:00:00Z,2023-04-28T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
352040,Influenza - Avian,;H5N1 HPAI;,48.19819,16.46783,WIEN,Austria,Europe,2023-04-24T00:00:00Z,2023-04-28T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
349159,Influenza - Avian,;H5N1 HPAI;,48.17852,16.44297,Wien,Austria,Europe,2023-03-13T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349157,Influenza - Avian,;H5N1 HPAI;,48.17386,16.46291,Wien,Austria,Europe,2023-03-17T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
348225,Influenza - Avian,;H5N1 HPAI;,48.1746,16.46575,WIEN,Austria,Europe,2023-03-09T00:00:00Z,2023-03-17T00:00:00Z,"Wild,Falcon,",OIE,,,Confirmed
349882,Influenza - Avian,;H5N1 HPAI;,48.20013,16.41478,WIEN,Austria,Europe,2023-03-28T00:00:00Z,2023-03-31T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
349883,Influenza - Avian,;H5N1 HPAI;,48.17385,16.46295,WIEN,Austria,Europe,2023-03-27T00:00:00Z,2023-03-31T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",OIE,,,Confirmed
349158,Influenza - Avian,;H5N1 HPAI;,48.17392,16.46298,Wien,Austria,Europe,2023-03-14T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
349161,Influenza - Avian,;H5N1 HPAI;,48.460134,1.310886,Saint-Aubin-des-Bois (28325),France,Europe,2023-03-10T00:00:00Z,2023-03-24T00:00:00Z,"Domestic,Unspecified bird,",OIE,,,Confirmed
349322,Influenza - Avian,;H5N1 HPAI;,47.040368,2.63659,AVORD (18018),France,Europe,2023-03-02T00:00:00Z,2023-03-24T00:00:00Z,"Wild,Black headed gull (Chroicocephalus ridibundus),",OIE,,,Confirmed
351222,Influenza - Avian,;H5N1 HPAI;,48.618872,1.170999,ISIGNY-LE-BUAT (50256),France,Europe,2023-03-06T00:00:00Z,2023-04-14T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",OIE,,,Confirmed
